Sample_ID,Net_pen,Diet,Gut_segment,Organ_weight,Body_weight,Organ_somatic_index
1,109,IM66,PI,88.66,3783,2.34
2,109,IM66,PI,85.66,3826,2.24
3,109,IM66,PI,73.796,2992,2.47
4,109,IM66,PI,90.19,3080,2.93
5,109,IM66,PI,168.864,4443,3.8
6,109,IM66,PI,110.81,3923,2.82
7,110,IM100,PI,66.471,2953,2.25
8,110,IM100,PI,79.793,2774,2.88
9,110,IM100,PI,111.12,3212,3.46
10,110,IM100,PI,109.66,3712,2.95
