Sample_ID,Diet,Net_pen,Ref_gene,PE,Cq,Cq_error,Comments
48,IM,104,hprt1,2,22.4,0.17,
49,IM,105,hprt1,2,21.88,0.01,
50,IM,105,hprt1,2,22.5,0.16,
51,IM,105,hprt1,2,22.29,0.11,
52,IM,105,hprt1,2,21.88,0,
53,IM,105,hprt1,2,22.16,0.06,
54,IM,105,hprt1,2,22.28,0.03,
55,REF,106,hprt1,2,22.11,0.04,
56,REF,106,hprt1,2,22.38,0.08,
57,REF,106,hprt1,2,22.11,0.01,
58,REF,106,hprt1,2,22.18,0,
59,REF,106,hprt1,2,22.13,0.06,
60,REF,106,hprt1,2,22.6,0.19,Calibrated_Cq_from_run_2
7,IM,110,actb,1.86,15.32,0.01,
8,IM,110,actb,1.86,14.65,0.04,
9,IM,110,actb,1.86,14.98,0.11,
10,IM,110,actb,1.86,14.43,0.12,
11,IM,110,actb,1.86,14.85,0.02,
12,IM,110,actb,1.86,14.75,0.04,
13,REF,111,actb,1.86,14.9,0.11,
14,REF,111,actb,1.86,14.74,0.07,
15,REF,111,actb,1.86,15.09,0.04,
16,REF,111,actb,1.86,14.8,0.04,
17,REF,111,actb,1.86,14.92,0.01,
18,REF,111,actb,1.86,15,0.05,
25,REF,101,actb,1.86,14.94,0.06,
26,REF,101,actb,1.86,14.45,0.06,
27,REF,101,actb,1.86,14.79,0.04,
28,REF,101,actb,1.86,14.7,0.06,
29,REF,101,actb,1.86,14.57,0.01,
30,REF,101,actb,1.86,14.5,0.02,
43,IM,104,actb,1.86,14.88,0.11,
44,IM,104,actb,1.86,14.75,0.01,
45,IM,104,actb,1.86,14.59,0.01,
46,IM,104,actb,1.86,14.51,0.01,
47,IM,104,actb,1.86,14.42,0.04,
48,IM,104,actb,1.86,14.49,0.03,
49,IM,105,actb,1.86,14.79,0.03,
50,IM,105,actb,1.86,14.81,0.1,
51,IM,105,actb,1.86,15.02,0.12,
52,IM,105,actb,1.86,14.89,0.03,
53,IM,105,actb,1.86,14.45,0.04,
54,IM,105,actb,1.86,14.75,0.05,
55,REF,106,actb,1.86,14.4,0.11,
56,REF,106,actb,1.86,14.65,0.01,
57,REF,106,actb,1.86,14.69,0.08,
58,REF,106,actb,1.86,14.63,0.02,
59,REF,106,actb,1.86,14.48,0.01,
60,REF,106,actb,1.86,14.65,0.07,Calibrated_Cq_from_run_2
