Sample_ID,Diet,Net_pen,gapdh_Cq,gapdh_PE,rnapo2_Cq,rnapo2_PE,hprt1_Cq,hprt1_PE,actb_Cq,actb_PE,Target,Target_PE,Target_Cq,Target_Cq_error,Target_func,Comments
49,IM,105,18.33,1.90 ,23.96,1.80 ,21.88,2.00 ,14.79,1.86,chk,1.94,21.06,0.09,lipid_metabolism,
50,IM,105,18.34,1.90 ,24.11,1.80 ,22.5,2.00 ,14.81,1.86,chk,1.94,21.86,0,lipid_metabolism,
51,IM,105,18.24,1.90 ,24.02,1.80 ,22.29,2.00 ,15.02,1.86,chk,1.94,21.63,0.01,lipid_metabolism,
52,IM,105,18.18,1.90 ,23.91,1.80 ,21.88,2.00 ,14.89,1.86,chk,1.94,21.26,0.06,lipid_metabolism,
53,IM,105,17.79,1.90 ,23.77,1.80 ,22.16,2.00 ,14.45,1.86,chk,1.94,21.48,0.04,lipid_metabolism,
54,IM,105,18.12,1.90 ,23.87,1.80 ,22.28,2.00 ,14.75,1.86,chk,1.94,21.17,0.03,lipid_metabolism,
55,REF,106,17.86,1.90 ,23.74,1.80 ,22.11,2.00 ,14.4,1.86,chk,1.94,20.69,0.06,lipid_metabolism,
56,REF,106,18.05,1.90 ,24.06,1.80 ,22.38,2.00 ,14.65,1.86,chk,1.94,20.43,0.03,lipid_metabolism,
57,REF,106,17.79,1.90 ,24.04,1.80 ,22.11,2.00 ,14.69,1.86,chk,1.94,20.9,0.06,lipid_metabolism,
58,REF,106,18.08,1.90 ,23.76,1.80 ,22.18,2.00 ,14.63,1.86,chk,1.94,20.84,0.01,lipid_metabolism,
59,REF,106,17.9,1.90 ,23.81,1.80 ,22.13,2.00 ,14.48,1.86,chk,1.94,20.77,0.05,lipid_metabolism,
60,REF,106,17.87,1.90 ,24.17,1.80 ,22.60,2.00 ,14.65,1.86,chk,1.94,21.24,0.01,lipid_metabolism,
7,IM,110,18.73,1.90 ,24.68,1.80 ,23.11,2.00 ,15.32,1.86,pcyt1a,2.09,25.31,0.04,lipid_metabolism,
8,IM,110,18.22,1.90 ,23.58,1.80 ,21.72,2.00 ,14.65,1.86,pcyt1a,2.09,23.9,0.04,lipid_metabolism,
9,IM,110,18.26,1.90 ,24.2,1.80 ,22.45,2.00 ,14.98,1.86,pcyt1a,2.09,24.8,0.12,lipid_metabolism,
10,IM,110,18.12,1.90 ,23.58,1.80 ,21.59,2.00 ,14.43,1.86,pcyt1a,2.09,23.98,0.09,lipid_metabolism,
11,IM,110,18.24,1.90 ,24.13,1.80 ,22.18,2.00 ,14.85,1.86,pcyt1a,2.09,24.81,0.06,lipid_metabolism,
12,IM,110,18.07,1.90 ,23.81,1.80 ,21.94,2.00 ,14.75,1.86,pcyt1a,2.09,24.1,0.03,lipid_metabolism,
13,REF,111,18.24,1.90 ,23.91,1.80 ,22.08,2.00 ,14.9,1.86,pcyt1a,2.09,24.36,0.01,lipid_metabolism,
14,REF,111,18.14,1.90 ,23.75,1.80 ,22.13,2.00 ,14.74,1.86,pcyt1a,2.09,24.3,0.07,lipid_metabolism,
15,REF,111,18.29,1.90 ,24.02,1.80 ,22.19,2.00 ,15.09,1.86,pcyt1a,2.09,24.55,0.13,lipid_metabolism,
16,REF,111,18.07,1.90 ,24.14,1.80 ,22.49,2.00 ,14.8,1.86,pcyt1a,2.09,24.54,0.11,lipid_metabolism,
17,REF,111,18.25,1.90 ,24.25,1.80 ,22.37,2.00 ,14.92,1.86,pcyt1a,2.09,24.52,0.04,lipid_metabolism,
18,REF,111,18.45,1.90 ,24.13,1.80 ,22.64,2.00 ,15,1.86,pcyt1a,2.09,24.59,0,lipid_metabolism,
